x,y
9380,13943
7704,1221
18537,18485
9481,8944
14714,12362
17146,21627
5416,12471
19807,21566
17557,19122
13992,114
16043,2795
21382,21482
18648,13885
4125,7637
6895,9541
7059,15760
21482,17813
2099,7179
19165,3032
19765,14224
10518,21276
11255,18204
14407,5929
21324,14507
8944,18743
12071,4325
19928,10979
13393,10832
19053,5128
791,7928
14174,17858
6037,1221
18155,11522
13838,17403
16907,1496
480,7869
5128,1821
4830,5128
10269,17758
6842,4325
17899,3485
9925,11522
8688,18648
10781,16111
10269,630
6947,15933
353,17106
8623,3633
10269,10378
19460,14112
14278,5674
959,19053
18798,10094
2050,21136
18435,17657
17758,1102
20742,5472
3806,20187
2525,6463
8150,3032
7237,15760
6273,15254
13192,0
13885,8623
4370,21234
16754,4957
13750,5472
3752,20133
18056,9983
3252,3380
10879,13690
3590,9209
16815,12873
16855,11463
10094,16958
16699,9118
12122,3089
5988,4278
8623,1496
21680,11255
19765,5529
179,6205
16907,18355
13885,13750
19274,11365
480,15875
5306,17513
10931,21324
7637,20694
4125,19765
7514,5195
19668,13329
20301,18016
18537,16815
18897,19928
18056,16492
9604,7812
12752,17813
17899,14224
5737,5253
4895,12299
20694,8831
20079,16352
16352,737
11522,114
10146,20631
10094,5306
6139,16639
3806,10717
5629,900
4588,8433
10094,18590
6785,5195
13514,15813
11564,19981
5576,14653
17106,8784
5674,19928
12020,1221
9271,21079
4234,9541
14552,20530
4125,3380
17146,9422
7514,4957
8038,18435
7744,1452
1496,6947
480,10931
412,21276
21382,7704
15201,7569
3848,737
12873,11255
21324,11082
3428,6463
13750,20234
17951,20234
8944,10423
21680,19603
3697,1701
9869,20530
20479,12255
6403,5128
1452,2679
13514,7237
7744,16205
8831,10146
12071,3132
14901,5799
13088,13192
13393,18648
4629,12471
9064,17657
11733,21180
14224,1102
2525,114
19210,21324
9380,16352
16699,12699
353,3089
3633,20133
18696,10979
13514,10322
13458,13581
21680,5306
2285,5529
6273,9604
8738,673
10207,18355
10094,14507
7000,11680
21680,17557
18016,13838
14278,1769
17708,15933
18056,17951
20234,11365
12752,8192
10717,13750
20631,18648
18485,2861
17899,13088
12189,9649
20133,1051
2679,20187
15627,5059
19506,16815
6702,16043
16958,17106
11082,244
1539,12538
6580,17292
19012,1383
7569,2168
10832,8192
585,5472
16111,3032
15084,16536
4370,11616
11955,10518
1769,20901
10979,1701
1383,11733
8738,11680
8738,4325
13794,12122
5929,21627
5865,16907
16205,4957
10146,7122
8944,10207
353,20694
8784,7812
16754,15999
20901,13627
6702,12603
18395,12873
7122,15034
13627,20694
11522,17813
7928,3315
12809,9118
11904,14836
16492,10094
12538,7812
13627,5059
16754,12299
7928,6785
9064,5416
9815,18204
1769,13838
4784,17198
10269,11733
18355,4530
2050,1320
4588,1383
412,11799
6702,9380
21136,480
8150,18798
4056,585
10322,18016
20584,21423
8784,21136
13393,9118
4016,4784
6842,7997
7514,1383
19012,19864
14969,15201
7327,19928
12603,15084
1452,15201
18112,8738
15254,1221
3428,14783
10094,4429
673,14278
12873,20234
19506,6516
9271,353
4429,6742
6947,1539
5576,19928
19274,14407
1154,7059
11365,19603
12699,15813
3697,18204
19603,544
20234,1320
4166,10035
18798,8433
6842,5195
8784,20187
1452,14278
11082,19864
5674,9380
8944,3806
12411,19122
4530,2861
11142,18798
3428,15371
5416,18395
1005,19807
17513,13033
16111,12299
4234,12255
7000,959
7928,5306
6463,9158
15316,16639
13134,6516
18957,12471
11904,15933
8556,16445
16596,7514
20133,11616
18798,15084
12993,13088
18590,10879
3485,9481
21482,9422
1769,3590
2412,21680
4588,12020
19981,2467
10979,19053
19165,20804
12809,5306
8688,15875
3132,8150
13943,7237
12299,7327
16754,20079
9925,13192
19807,17899
9118,14452
2570,15586
1102,12020
19325,15692
15933,15371
4166,15933
16536,18648
10630,4016
18957,17858
1539,14601
2168,14507
20804,3132
11799,17248
12940,4682
9869,20945
3848,14783
16958,20901
18743,18743
15692,412
6702,353
15692,18306
2795,18355
16165,7637
18355,6947
1102,19012
12122,5195
4370,9481
18590,20631
10146,8433
19460,10269
17657,353
114,19460
5366,5416
10146,2570
1539,6079
17344,21079
3899,18743
3485,19807
1539,5576
1221,6742
18355,12071
15875,4016
16907,15371
21566,17951
3089,12471
13329,8488
10879,14507
6645,9753
12538,2625
19807,4481
4629,11365
10832,20234
6463,673
4895,14339
11416,9422
17049,12411
14452,3899
15254,12299
2964,9604
3485,19012
18853,10931
14339,18395
5799,21382
7869,6403
2412,15084
7122,19551
15586,16958
8556,3032
12189,11955
4325,14836
6516,16247
6947,20584
13627,13458
19551,412
1701,18743
1277,18648
11564,15760
5674,13885
6842,21382
6947,1606
8150,11365
3967,1496
1942,7387
19274,8488
20234,21627
6645,10146
9009,4629
17458,19274
4429,18155
20133,20029
5366,11955
20584,9869
179,17344
7997,14714
10781,19210
13627,17657
4481,0
20234,17899
13033,2006
20742,19391
3252,21627
2861,1658
12122,7237
19506,8375
11799,9604
20439,4588
5529,18395
15483,2795
8099,5128
6947,13458
5059,3252
7704,114
11955,21382
6139,8099
21423,14552
737,7744
1452,4741
11255,5629
1769,3132
4166,9541
17292,20395
3697,6895
16247,15371
6139,18306
5059,3633
1051,12471
10269,1051
2343,1496
5929,15875
15586,18957
3697,17758
16596,7812
12255,10630
11564,8312
9649,17557
19765,8831
5472,20742
11522,19928
21014,5865
17758,19928
7928,16958
20742,853
18395,11564
16205,11799
12020,6785
13329,2679
20439,8099
14783,13992
17513,18056
13329,8784
19165,16907
6338,3590
4166,16958
10565,4895
12809,5529
20301,19325
6580,9699
10269,21627
7744,4429
6139,16303
20234,12411
10832,2412
4234,21136
8488,4125
12020,14507
16639,9064
10269,13885
8893,8099
2235,14783
6947,10630
6580,5737
5674,16754
11616,9422
8312,13581
8944,5674
9815,19765
8192,585
8623,18155
9541,1942
9925,18743
8375,18590
14278,8623
3485,11188
20479,3428
16205,7387
5128,5629
7122,21276
14224,5195
480,15132
11463,13627
10931,16855
5529,19765
19122,11255
6139,9422
4370,8375
4016,3380
14224,8192
20901,7059
17608,1221
17758,2679
11416,11733
7744,53
2285,18056
13627,20395
21324,17813
14507,16111
1005,14174
7569,1221
3089,10565
13794,6580
900,19506
14339,15421
13514,17248
13992,11307
19807,2343
21680,6742
20856,15875
20133,19807
3199,17458
14552,18957
18355,4325
959,3899
13581,11307
19864,18395
14653,13750
9649,9699
53,3633
9064,18204
853,20804
17403,11365
7448,9118
17608,10565
2570,20234
8038,13838
12189,9869
19053,244
6702,20742
9118,4629
9209,21423
6742,7869
21627,18306
19603,17758
9481,9118
353,11463
6037,13838
10269,12189
6338,9064
1658,2795
9541,11955
20355,2525
8784,6463
16536,19210
3485,17049
7514,2285
13033,4481
10470,4429
7237,1277
19506,6037
13885,2734
11733,853
7179,16247
16492,8375
16111,17513
21014,3315
18798,737
3132,18204
15034,2679
3132,13289
14783,12873
18155,18395
12993,10671
17344,13885
7869,7327
20742,15254
14783,11616
9158,17899
20530,19668
7122,17608
21566,19053
1942,7059
20742,4325
20631,17344
4957,20631
5799,3032
6785,18056
3546,20133
18696,15371
15627,9699
2795,2235
8556,16907
10470,19012
11365,14339
5019,2235
3967,1277
6842,4895
4016,18016
14046,8433
17813,7179
21680,5674
853,10146
13838,1942
15084,15627
21382,19325
3485,4234
19807,16111
8738,19274
5865,21382
4741,18798
1821,5865
15692,4741
3315,8893
3697,10378
5416,17758
13838,8688
14836,8556
13192,8150
1221,3546
9481,20694
16958,16492
12255,10671
2168,13393
2006,6947
4125,13134
1496,1154
18853,9380
8256,673
15875,2964
3806,480
19807,2964
7704,7237
15254,10979
15034,19928
13885,585
8623,12255
7637,5128
9925,13232
18743,20029
2285,16815
20355,20301
17403,5629
12362,16596
21234,1383
15692,5128
3485,21276
21276,9118
17858,6273
9541,14836
13690,1051
13627,16754
12362,9422
7637,10518
20694,3806
13289,17813
9118,1942
9925,12020
5865,10035
10832,11142
1320,19506
3380,8556
6702,18853
6205,6516
17248,5529
13232,5929
1942,9209
19053,12411
9324,21180
10035,19864
19928,8893
15421,1221
15316,630
17858,3315
13885,12411
20804,6273
353,6702
21180,7514
21680,3315
1658,8488
11082,17657
7059,5128
544,17513
2050,114
6205,53
7569,7514
8192,13992
4016,6842
1821,2861
5929,14278
6463,5674
20234,17758
9815,17146
19012,14278
19603,9541
6037,13088
3848,15254
14653,13627
3848,16247
8375,1658
286,20804
244,18306
19325,10518
18590,4056
5306,5629
19668,11188
1606,13794
19391,6338
5128,18853
17248,12699
20694,1221
21680,17951
15132,17951
10671,18696
21382,12699
3032,21234
4481,13690
15254,8312
13514,20631
8944,7514
791,18155
5366,9158
9009,20856
7387,15084
11036,8375
3199,17758
15760,3590
20234,16639
12873,8831
7122,1882
6785,2795
8192,13289
17899,17458
11463,19765
16596,5366
8433,14339
14339,7869
14969,14901
5799,14174
4056,6205
17951,14174
7179,2168
12699,16445
544,10931
1539,900
8738,244
2964,13134
11904,4016
6895,16165
8375,18743
5576,10269
5195,19603
21627,16399
1005,21276
7637,14714
4370,7237
9158,10423
15999,5674
7179,19210
19715,4016
14407,4125
13627,16165
19765,20530
16303,8192
7744,8038
12809,6403
179,19325
5128,10979
244,15254
4629,13627
17198,20631
7928,6842
11733,19603
21136,16399
17708,1102
5253,11850
4016,4016
9649,17198
20395,16205
8688,14224
10470,2525
8944,3697
10470,3252
2099,11255
19122,8150
19603,5366
14836,11799
1051,13033
14653,4429
20439,14653
9604,853
12362,17513
10717,5253
2679,7179
4588,21079
18897,10470
11955,15627
13192,9815
16855,7122
19053,11307
17608,16699
13838,16445
8256,8893
10035,4895
19122,12020
9422,2679
6580,19981
11680,4016
11616,7704
5988,11904
2343,0
13289,19551
21482,8556
3199,8488
16445,14224
1606,21680
18435,6580
9541,9158
20355,13838
3590,737
2050,14601
3132,17758
6785,1452
21627,19460
7000,15933
7059,16754
17146,1102
8150,8433
20945,2923
9815,16639
4370,7704
16639,6037
13943,4166
19460,17899
20631,20584
5059,5019
20133,20945
13458,673
16958,8038
12362,2285
8784,13329
7928,13943
8038,2795
14969,14783
3633,3899
6645,15201
12411,17513
53,18112
6702,13232
18204,791
4957,10146
9753,20301
16907,4530
4234,15692
7448,4481
8944,1452
19274,8038
20530,9925
2050,14452
3089,18306
673,12189
10565,1942
21566,10470
10671,5128
7569,1154
20395,19274
17146,14783
12809,6842
9604,9422
11255,20355
3315,1606
5128,19668
9753,1277
14653,11564
19765,9009
5416,7514
13134,2734
17513,8623
10717,13088
15692,3848
12993,4166
10423,8556
13329,11564
15627,3806
0,12603
17002,9271
13033,3752
16754,8893
14836,4895
21524,585
17557,19603
11904,3806
13088,14507
2099,19053
16958,19391
4682,3633
16399,1942
19668,11365
13627,18306
4784,19715
10518,4125
8944,18204
20479,1658
8738,7059
20133,11036
5019,2570
2235,3546
412,9064
10207,15875
1102,16043
17198,6037
1942,13192
12471,1539
6037,3590
1277,20079
7327,2235
14407,16639
17557,15254
2006,12411
20355,16754
12071,13458
2235,2923
10781,4481
15201,15813
10717,18696
20945,19506
9380,16754
16303,8784
4234,8375
1005,8893
10094,16399
15371,9869
6580,21276
12471,673
7237,1320
17146,19864
15132,544
15371,12071
21382,16205
2795,9604
10879,959
4682,17899
13690,12471
3546,4784
10832,10717
4056,17248
11616,11850
15933,12645
5576,244
8738,8099
12071,673
19603,9209
14112,8150
10423,16639
13458,2285
16815,14601
8831,19391
7122,21014
16165,3089
4830,2525
17608,15132
18056,16043
13750,11955
19668,7569
4530,2734
13838,4481
19053,480
6205,16596
7569,673
10322,179
1005,15316
11680,6139
12071,11733
15421,21382
14112,16247
19715,18648
14836,8375
6463,7514
15483,5059
9815,19864
480,21180
14653,17248
15627,5128
1701,12538
2168,14278
7514,9753
15201,6516
18897,16247
13134,13750
4895,17557
16165,1606
14901,12255
6895,6338
19460,13329
4016,13885
18537,12255
15084,9118
18957,5128
4016,15084
1383,7237
7280,5366
5988,19981
11416,20856
9753,6338
7387,10378
18696,17198
10094,10565
10717,16303
2964,480
3132,19864
959,17002
12299,17002
5865,12940
15371,21524
10207,9271
3380,13289
11904,673
13750,11082
19391,20901
853,11142
10146,9422
10565,15875
959,9541
16855,5059
3252,12993
2168,1701
8038,9541
114,14224
2168,11564
19325,17344
5253,3252
17403,2964
737,13458
1701,19928
7569,4588
9925,20301
15132,14224
7237,11850
8738,18648
10378,6338
14407,21382
16815,15933
21014,20355
14224,21180
14174,17403
4830,9209
10322,11564
10781,10269
6079,21180
1154,9209
1452,2412
6580,14112
17106,4125
7122,17106
11416,4325
13943,7997
11733,17146
9380,1496
11416,1539
21524,12538
5988,7179
630,4481
4588,4830
21627,21382
2050,17513
2467,959
20530,4056
13458,19807
5799,20804
16445,5799
3428,9649
8312,8944
2570,2861
5416,11255
12189,12699
18853,9983
13088,9815
1102,15084
11463,19165
20439,19981
8623,19551
21136,13458
14552,10423
8738,21482
7122,15132
791,5988
15421,8488
17106,11733
0,9271
12538,12809
18435,10781
12362,17049
5576,3252
16907,16754
17002,21423
7812,1320
1769,15537
2525,11904
3633,17248
18355,16043
5529,179
18696,21079
7000,6842
11733,4370
14278,15627
14174,11307
6273,7179
11307,21324
12299,179
12299,20631
21324,4588
673,7928
18112,20079
16855,10518
4234,1102
11255,19765
8488,9209
7569,9481
21382,3590
21324,15692
4429,6785
12020,3806
6079,5128
179,12411
17002,17557
4125,4895
21627,20584
13329,17403
15132,585
900,18743
9209,12362
19012,2412
5929,2734
11255,18016
2050,11680
9118,18743
8312,4957
9118,16855
8738,21324
19603,14174
2006,13329
12122,12603
5929,11680
20530,4016
1821,5674
19668,16445
286,14714
13992,6645
20901,13232
10630,18112
11307,5366
20301,7122
2168,18112
2235,18590
14224,21136
16165,5576
737,13627
4429,3752
5674,6742
5059,18355
6842,673
3697,16754
2099,21014
3806,4166
1882,6895
12299,8738
18306,2168
1496,19807
18743,1496
13885,17344
2006,14339
1102,6516
17951,3132
5799,19928
3380,16399
8688,6947
2734,12993
3899,6702
21482,8488
12471,19460
3848,4957
7122,21423
13690,12255
6702,10269
7812,6273
10630,17458
16815,19864
17557,2467
9064,5576
179,18112
17198,6742
3199,9604
10035,7059
19391,8433
6580,2006
18897,21014
11522,4895
12538,14278
21423,20439
6037,900
14783,19765
12940,19928
10470,11616
12645,18798
1882,14507
3132,11733
16303,2467
16536,14969
20479,2343
4741,12020
17708,10518
18355,9380
8893,21680
19603,8099
11036,14714
4784,13289
412,6895
6947,3752
14507,53
20439,21079
9699,16815
5865,10423
12940,13794
3089,3428
7569,11522
4056,11904
19551,21566
3428,13329
21234,7997
3697,19210
16536,1051
16907,5529
2006,2795
16639,6895
18485,12603
17146,17951
20742,12255
18648,10565
19715,20945
13134,12645
13329,14112
3199,13088
18590,4530
9380,17708
1005,1539
1701,2006
12122,13838
6037,9649
6403,13393
11082,13134
9869,19668
11307,20355
15692,10717
13033,16639
9649,21423
20742,6516
53,17049
10470,7448
14969,19981
13838,2412
12362,3089
6273,12189
16639,1051
8433,10207
6895,2679
18957,14714
8192,16492
19668,4895
7000,7637
8944,10630
1383,1701
18648,5988
673,15132
20945,10322
5576,13581
14507,20355
7059,17106
6463,2168
10322,5629
2343,4325
630,7448
13581,21180
17049,17899
673,20187
13134,5737
0,14407
6947,6139
14452,20479
2050,9815
17002,14112
12752,13690
18204,11733
13690,4429
19274,3806
16596,10565
7569,13289
8784,13943
4588,5306
13794,12645
8256,20694
12538,3806
8312,853
17513,7514
9869,9753
16303,9481
12122,6403
6842,11564
11564,5306
21423,13794
12699,5988
6205,2412
20395,10832
9983,9925
21234,13134
11799,7059
3089,13750
18016,53
18204,15813
20395,16754
17002,11036
10979,19391
8256,2795
5306,6895
9009,2861
4957,737
14174,15483
19603,11416
19506,4234
114,1051
14552,15316
6947,2570
21276,14112
17049,7237
4278,11463
11082,8375
2285,3697
4588,11188
630,18648
12873,2235
16907,20742
13627,19391
20187,11463
353,2050
4370,14339
12993,8688
11036,353
5799,15760
6645,4125
14552,21680
21566,4481
10879,15586
20395,13581
5059,13838
7569,18112
4056,17557
19668,12255
11463,6205
4741,21566
6895,17858
21079,1005
20804,8375
19165,19864
20631,5366
16303,4741
5253,2285
10671,412
18435,7869
19981,21680
1051,11255
6947,3428
3899,10671
13289,12122
11082,8623
1942,15627
10781,16165
3633,3428
7997,3752
5366,19981
21482,11564
10717,9158
15933,15537
17708,4588
18798,16303
3899,21566
2467,11955
8150,20901
2343,8556
6463,11036
11733,10832
18853,16445
21234,9869
10979,1942
21276,21180
8738,6079
11082,3032
4957,13192
12873,9604
2343,14714
18897,6338
19603,8831
11522,3485
12020,17608
21180,20079
6139,6842
2861,5737
4278,18853
8944,8433
2343,13514
9869,10979
13329,6895
12122,12940
8688,16445
5629,21276
4325,11564
10832,2570
11188,544
16111,6842
4125,2525
10671,179
18853,13943
1539,21566
5529,13033
16111,2006
14901,14552
18435,21276
12471,13838
8831,19715
14112,15933
11142,2923
12645,6139
9209,16303
21180,353
7812,2343
11733,18957
20804,14224
21079,3752
6139,21324
13838,1452
17557,11416
21276,2467
7569,2235
2168,3380
13690,10671
17002,2923
14601,16165
8688,10094
9649,17002
9649,11255
5929,9422
353,13033
2006,3485
13393,21136
4016,8893
18355,11255
13992,18648
5674,16205
1383,20945
9158,2235
19864,17951
6580,14714
17708,12411
10322,20530
16247,5416
14714,13690
19551,7514
16639,14653
12809,19460
353,11680
4016,14339
2412,18798
20901,12699
18355,2285
16492,17513
3752,2570
19807,8038
4530,17758
14174,2861
13750,18252
20133,16536
17513,14112
20479,2625
17002,13885
6785,13192
11082,791
630,4530
13088,8944
14174,6742
13232,1320
13750,19506
19325,7280
15132,9869
3032,18016
5253,19165
8375,21324
11522,9118
16399,9753
20584,7280
16536,5865
11188,8312
17951,4429
14969,14552
21566,15483
20439,18252
3428,14507
11255,18853
14278,3132
13690,18056
16165,3199
8150,12993
7280,1882
9983,4784
4429,7122
11616,5799
737,17951
3380,7869
6645,12752
9380,18798
10879,17708
7812,4278
18016,10035
2795,16754
14339,18016
5929,20187
12411,7514
10832,179
21423,17813
11416,8488
19053,12538
20856,14174
19765,16596
20584,12699
3967,14507
4530,9541
20187,7179
12603,17951
14836,16699
412,3633
10518,16639
14046,17858
15933,21423
13992,5472
11904,8831
6403,14653
15316,12699
12411,5529
4370,6842
19864,15316
16639,3806
6516,18395
10717,5576
21382,4125
14653,21136
7327,10931
13794,3485
20133,14046
17002,21136
18648,20530
4830,53
6645,1102
6785,13794
17758,11850
737,16445
13192,9158
5019,11680
13992,10717
15933,19012
19981,18590
13134,15316
15692,10269
11463,7000
5529,4125
8488,5128
1221,18112
2412,2343
21423,17146
20530,11955
15586,8192
13289,9925
6403,14901
9064,14836
3546,18590
9604,2861
2734,7179
19668,3752
16536,3380
13750,3848
18590,1539
1383,5629
9271,17557
13289,6895
4682,8256
5629,4629
4125,8831
17002,20901
1769,5253
12752,18204
15760,4125
3899,14278
19210,9118
19165,7059
8375,11082
14112,18485
2625,13393
5988,4629
14407,20234
9481,53
7514,14224
11036,16352
544,6516
21524,2006
11082,21324
7704,1051
13750,12020
5306,9118
630,3252
8831,13943
4370,11522
7569,7637
5988,3899
14112,10781
9649,20694
11416,16111
16958,4016
21180,21680
16958,2525
11082,20945
10717,286
2285,12020
8831,9541
21180,5128
9815,21014
16815,7448
6947,14224
21566,20856
19012,10518
1005,19603
2285,480
9209,2050
6842,8738
18853,10269
7812,19765
13581,14653
16111,959
3315,16815
20079,18798
2050,737
15371,15483
3633,11188
12471,10518
14969,14836
6463,2050
1452,2861
7122,12752
9324,14112
15692,21324
1154,13393
9925,10979
18204,3089
12020,3697
9271,4830
12752,16303
9118,11904
3633,7122
2734,4016
114,19012
15483,8784
5799,16445
4056,1005
20530,21423
20029,4895
900,8784
15483,1154
5799,18435
18957,5019
9158,11255
8433,8192
13627,3752
12538,10717
2525,19012
2679,10146
900,21136
10518,20439
7569,4741
5799,0
17657,12411
13232,18355
10518,4056
14836,9380
12699,21234
7514,1320
11416,1154
7569,15537
5195,2525
9604,10207
16815,12809
5366,6338
10565,20133
13192,10630
17813,18306
2050,5366
5019,21234
179,1005
2679,1221
11564,18853
16536,21627
20856,17708
7704,13750
3252,7997
14174,16492
18743,15813
18537,959
19053,13192
19807,7122
5416,19165
8944,20631
3032,14653
1320,15132
8623,1051
15933,8623
1320,6037
1277,15084
21014,14901
9209,1496
10035,1658
20234,7059
